City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Peyima,SL,2022-02-09 07:48:56,8.7,-11.0333,68.07,93,28,1.12
68,Lata,PT,2022-02-09 07:48:57,40.1629,-8.3327,46.81,72,0,3.56
69,Luanda,AO,2022-02-09 07:48:57,-8.8368,13.2343,77.0,83,75,5.75
70,Arraial Do Cabo,BR,2022-02-09 07:48:41,-22.9661,-42.0278,71.29,84,100,7.2
71,Coahuayana,MX,2022-02-09 07:48:58,18.7333,-103.6833,66.09,86,1,4.38
72,Colares,PT,2022-02-09 07:45:33,38.7992,-9.4469,53.33,76,0,10.0
73,Susanville,US,2022-02-09 07:48:59,40.4163,-120.653,35.1,73,0,5.75
74,Pacific Grove,US,2022-02-09 07:48:59,36.6177,-121.9166,62.49,51,0,9.22
75,Atar,MR,2022-02-09 07:49:00,20.5169,-13.0499,67.53,12,98,9.55
76,Esperance,AU,2022-02-09 07:49:00,-33.8667,121.9,75.04,66,18,16.37
77,Bluff,NZ,2022-02-09 07:47:29,-46.6,168.3333,62.8,93,100,9.62
78,Tuy Hoa,VN,2022-02-09 07:49:01,13.0833,109.3,79.68,79,77,7.81
79,Katsuura,JP,2022-02-09 07:49:01,35.1333,140.3,51.19,63,95,12.48
80,Huaquechula,MX,2022-02-09 07:49:02,18.7667,-98.55,52.39,77,0,3.71
81,Itoman,JP,2022-02-09 07:49:02,26.1247,127.6694,69.82,60,40,9.22
82,Norman Wells,CA,2022-02-09 07:49:03,65.282,-126.8329,-18.36,63,100,6.91
83,Coruripe,BR,2022-02-09 07:49:03,-10.1256,-36.1756,77.72,79,24,6.2
84,Yellowknife,CA,2022-02-09 07:49:04,62.456,-114.3525,-17.45,76,100,4.61
85,Geraldton,AU,2022-02-09 07:49:04,-28.7667,114.6,81.01,54,0,25.32
86,Airai,TL,2022-02-09 07:49:05,-8.9266,125.4092,64.96,94,100,1.88
87,Tuktoyaktuk,CA,2022-02-09 07:50:05,69.4541,-133.0374,-38.13,97,51,7.94
88,Grindavik,IS,2022-02-09 07:50:05,63.8424,-22.4338,30.67,74,0,26.46
89,Lagoa,PT,2022-02-09 07:50:06,39.05,-27.9833,58.64,72,64,12.75
90,Vanavara,RU,2022-02-09 07:50:06,60.34,102.2797,-6.09,87,89,3.27
91,Busselton,AU,2022-02-09 07:50:07,-33.65,115.3333,85.08,42,0,11.56
92,Komsomolskiy,UZ,2022-02-09 07:50:07,40.4272,71.7189,47.12,34,92,9.22
93,Genhe,CN,2022-02-09 07:50:08,50.7833,121.5167,11.7,80,100,4.23
94,Kangaatsiaq,GL,2022-02-09 07:50:08,68.3065,-53.4641,-3.37,72,100,19.06
95,Mataura,NZ,2022-02-09 07:50:09,-46.1927,168.8643,62.47,98,100,4.25
96,Yar-Sale,RU,2022-02-09 07:50:09,66.8333,70.8333,2.35,93,93,15.41
97,Mezen,RU,2022-02-09 07:50:10,65.8522,44.24,18.41,94,98,10.83
98,Richards Bay,ZA,2022-02-09 07:50:10,-28.783,32.0377,84.07,55,0,1.86
99,Safaga,EG,2022-02-09 07:50:11,26.7292,33.9365,69.75,26,0,1.81
100,Bhera,PK,2022-02-09 07:50:11,32.4832,72.9097,69.44,32,0,5.73
101,Torbay,CA,2022-02-09 07:47:01,47.6666,-52.7314,37.27,96,100,35.68
